번호,기간,고급휘발유,휘발유,경유,실내등유
A0006683,20260629,0,2060,2050,1650
A0004789,20260629,0,1949,1939,0
A0006668,20260629,0,1947,1897,0
A0006771,20260629,0,1994,1989,0
A0006770,20260629,0,1994,1989,0
A0006570,20260629,0,1980,1970,0
A0006502,20260629,0,1909,1895,0
A0006716,20260629,0,2017,1998,1600
A0000576,20260629,0,1987,1977,1600
A0006781,20260629,0,2098,2087,0
A0006347,20260629,0,1940,1930,1500
A0006642,20260629,0,1949,1899,0
A0006358,20260629,0,2020,2010,0
A0006633,20260629,0,2029,2019,0
A0006362,20260629,0,2045,2035,1650
A0006827,20260629,0,2095,2065,1700
A0006363,20260629,0,2040,2030,1650
A0006810,20260629,0,2035,2030,1650
A0006521,20260629,0,1949,1945,0
A0001236,20260629,2516,1999,2029,1650
A0006647,20260629,0,2050,2050,1650
A0006539,20260629,0,1917,1906,0
A0006747,20260629,2359,1956,1947,1550
A0006360,20260629,0,2040,2030,1650
A0001183,20260629,0,2040,2030,1650
A0006465,20260629,0,2050,2040,1650
A0006809,20260629,0,2038,2028,1650
A0006653,20260629,2337,1918,1905,1600
A0006357,20260629,0,2038,2028,1650
A0009746,20260629,0,1949,1895,1600
A0003635,20260629,2467,1942,1930,1560
A0006824,20260629,0,2078,2068,0
A0006489,20260629,0,2016,2006,0
A0006359,20260629,0,2070,2070,1650
A0006828,20260629,2337,1919,1904,0
A0006673,20260629,0,2040,2035,1650
A0004441,20260629,0,2030,1988,0
A0016950,20260629,2429,1998,1989,1650
A0006583,20260629,0,2009,1998,0
A0006712,20260629,2390,1979,1959,1600
A0005390,20260629,0,1899,1899,0
A0005606,20260629,2264,1844,1844,0
A0005303,20260629,2358,1921,1911,0
A0005418,20260629,2393,1971,1960,0
A0005598,20260629,2263,1844,1844,1590
A0032941,20260629,0,1844,1844,0
A0005443,20260629,0,1999,2079,0
A0005555,20260629,2264,1844,1844,0
A0005266,20260629,2264,1844,1844,0
A0005463,20260629,2264,1844,1844,1500
A0005571,20260629,2264,1844,1844,0
A0005508,20260629,0,1844,1844,0
A0005271,20260629,2319,1894,1894,0
A0005611,20260629,0,1999,1999,0
A0000663,20260629,2411,1971,1963,0
A0005524,20260629,0,1895,1865,0
A0005574,20260629,2459,1974,1974,0
A0009164,20260629,0,1999,1999,1600
A0005110,20260629,2536,2057,2047,0
A0005495,20260629,2386,1849,1849,0
A0005438,20260629,2290,1897,1887,1595
A0005509,20260629,2349,1922,1903,0
A0005493,20260629,2433,2008,2003,0
A0011920,20260629,2430,1998,1990,0
A0005542,20260629,0,1844,1844,1700
A0005154,20260629,2264,1844,1844,0
A0005326,20260629,0,1844,1844,0
A0005391,20260629,2264,1844,1844,0
A0005440,20260629,2538,1989,1976,0
A0011917,20260629,0,1944,1948,0
A0005161,20260629,0,1847,1847,0
A0005511,20260629,2399,1849,1799,0
A0011919,20260629,2433,1971,1961,1650
A0033510,20260629,0,1990,1988,0
A0033509,20260629,0,1990,1988,0
A0005163,20260629,0,1844,1844,1600
A0005546,20260629,2279,1895,1885,1590
A0005579,20260629,0,1971,1844,0
A0005504,20260629,2279,1887,1882,0
A0005525,20260629,2264,1844,1844,0
A0005533,20260629,2454,1994,1962,0
A0033106,20260629,2454,1999,1953,0
A0005430,20260629,0,1955,1918,1600
A0005566,20260629,2264,1844,1844,0
A0005523,20260629,0,1892,1887,1590
A0005556,20260629,0,1844,1844,0
A0005530,20260629,0,1999,2009,0
A0033168,20260629,0,1965,1955,0
A0005522,20260629,2398,1971,1981,0
A0005434,20260629,2312,1971,1961,0
A0005297,20260629,0,1911,1911,0
A0005519,20260629,2363,1971,1971,0
A0005477,20260629,0,1844,1844,0
A0005144,20260629,2497,1987,1927,0
A0005367,20260629,0,1971,1961,1650
A0007113,20260629,0,1968,1965,0
A0005109,20260629,2374,1971,1961,0
A0005066,20260629,2500,1971,1961,1600
A0005470,20260629,0,1948,1935,1550
A0005481,20260629,2345,1949,1949,1700
A0005277,20260629,0,1837,1827,0
A0005311,20260629,0,1989,1979,1590
A0000644,20260629,2264,1844,1844,0
A0000640,20260629,2279,1887,1882,0
A0005083,20260629,0,1997,1997,1600
A0005441,20260629,0,1854,1854,1600
A0005234,20260629,2299,1895,1898,0
A0005436,20260629,0,1844,1844,0
A0005181,20260629,0,1844,1844,0
A0005442,20260629,0,1884,1884,0
A0005298,20260629,0,1899,1899,1600
A0011921,20260629,0,1844,1844,0
A0000110,20260629,2377,1867,1867,1700
A0005348,20260629,0,2027,2017,1650
A0005253,20260629,0,1994,1984,0
A0005103,20260629,0,1911,1911,1700
A0005557,20260629,0,1854,1854,1600
A0005279,20260629,2437,1997,1977,0
A0005609,20260629,0,1847,1847,0
A0005528,20260629,0,1874,1864,0
A0015996,20260629,0,1971,1961,0
A0005250,20260629,0,2099,2099,0
A0005238,20260629,0,1968,1958,0
A0033063,20260629,0,2057,2047,0
A0005264,20260629,0,1854,1854,0
A0005258,20260629,0,1996,1995,0
A0005157,20260629,2312,1884,1884,0
A0000643,20260629,0,1987,1977,0
A0005149,20260629,2264,1844,1844,0
A0005446,20260629,0,1864,1864,0
A0005577,20260629,0,1897,1844,1480
A0005329,20260629,0,1999,1999,1700
A0005608,20260629,0,1999,1999,1730
A0005121,20260629,2389,1972,1959,0
A0005459,20260629,0,1977,1977,0
A0005272,20260629,0,1844,1844,0
A0011918,20260629,0,1894,1894,0
A0011916,20260629,0,1977,1967,0
A0005309,20260629,0,1969,1965,1700
A0013379,20260629,0,1928,1928,0
A0005565,20260629,0,1855,1855,1600
A0033790,20260629,2284,1870,1860,0
A0000730,20260629,0,1975,1955,1700
A0004234,20260629,0,1847,1847,1650
A0006879,20260629,0,1895,1898,1550
A0005281,20260629,0,1844,1844,0
A0009754,20260629,0,1844,1844,0
A0005190,20260629,0,1997,1997,0
A0005180,20260629,2437,1847,1847,0
A0005214,20260629,2344,1844,1844,1600
A0005604,20260629,2392,1844,1844,1700
A0005355,20260629,2427,1967,1937,1650
A0005547,20260629,0,1967,1937,0
A0001896,20260629,0,1971,1961,0
A0005372,20260629,0,1979,1969,1700
A0005300,20260629,0,1844,1844,0
A0005070,20260629,2448,1918,1898,0
A0005397,20260629,0,1999,1997,1700
A0005613,20260629,2353,1895,1885,0
A0005406,20260629,0,2019,1999,0
A0005614,20260629,0,1844,1844,0
A0000154,20260629,0,1939,1929,1400
A0006413,20260629,0,1844,1844,0
A0005162,20260629,0,1956,1926,1600
A0005288,20260629,2342,1844,1844,0
A0005302,20260629,2344,1844,1844,0
A0011915,20260629,0,1948,1938,0
A0008210,20260629,2326,1941,1943,1657
A0008174,20260629,0,1998,1995,1680
A0008218,20260629,2445,2025,2015,0
A0008402,20260629,0,1988,1978,1650
