번호,지역,상호,주소,기간,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0006683,경기 가평군,(주)설악주유소,경기 가평군 설악면 유명로 1711,20260629,HD현대오일뱅크,일반,0,2060,2050,1650
A0004789,경기 가평군,(주)오일릭주유소,경기 가평군 가평읍 경춘로 1741,20260629,S-OIL,셀프,0,1949,1939,0
A0006668,경기 가평군,(주)오일유업직영GS경춘주유소,경기 가평군 가평읍 경춘로 1776,20260629,GS칼텍스,일반,0,1947,1897,0
A0006771,경기 가평군,KH에너지㈜직영 가평주유소(서울방향),경기 가평군 설악면 미사리로 544,20260629,SK에너지,셀프,0,1994,1989,0
A0006770,경기 가평군,KH에너지㈜직영 가평주유소(춘천방향),경기 가평군 설악면 미사리로 540번길 51,20260629,SK에너지,셀프,0,1994,1989,0
A0006570,경기 가평군,㈜대광에너지 남이섬주유소,경기 가평군 청평면 경춘로 1484,20260629,HD현대오일뱅크,셀프,0,1980,1970,0
A0006502,경기 가평군,가평Self주유소,경기 가평군 가평읍 경춘로 2065,20260629,HD현대오일뱅크,셀프,0,1909,1895,0
A0006716,경기 가평군,가평군농협하나로주유소,경기 가평군 가평읍 경춘로 1785,20260629,NH-OIL,셀프,0,2017,1998,1600
A0000576,경기 가평군,가평대박주유소,경기 가평군 청평면 경춘로 1175,20260629,S-OIL,일반,0,1987,1977,1600
A0006781,경기 가평군,가평설악주유소,경기 가평군 설악면 신천중앙로 30,20260629,SK에너지,셀프,0,2098,2087,0
A0006347,경기 가평군,가평주유소,경기 가평군 가평읍 가화로 41-16,20260629,S-OIL,일반,0,1940,1930,1500
A0006642,경기 가평군,경기주유소,경기 가평군 청평면 경춘로 1013,20260629,HD현대오일뱅크,셀프,0,1949,1899,0
A0006358,경기 가평군,고동산주유소,경기 가평군 청평면 북한강로 1659,20260629,S-OIL,일반,0,2020,2010,0
A0006633,경기 가평군,국토셀프주유소,경기 가평군 조종면 비득재길 120,20260629,SK에너지,셀프,0,2029,2019,0
A0006362,경기 가평군,대성주유소,경기 가평군 하면 청군로 1184,20260629,SK에너지,일반,0,2045,2035,1650
A0006827,경기 가평군,덕현주유소,경기 가평군 상면 청군로 450,20260629,HD현대오일뱅크,일반,0,2095,2065,1700
